Work Year,Job Category,Job Title,Experience Level,Employment Type,Salary in USD,Work Setting,Company Location,Employee Residence,Company Size
2022,Data Analysis,Data Analyst,Mid-level,Full-time,150000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,100000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,120000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,95000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,68293,In-person,Spain,Spain,M
2022,Data Engineering,Data Engineer,Senior,Full-time,42026,In-person,Spain,Spain,M
2022,Data Engineering,Data Engineer,Senior,Full-time,191200,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,130000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,191200,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,130000,In-person,United States,United States,M
2022,Data Science and Research,Machine Learning Research Engineer,Entry-level,Full-time,66192,Hybrid,Germany,Germany,L
2022,Data Engineering,Data Engineer,Senior,Full-time,230000,In-person,United States,United States,L
2022,Data Engineering,Data Engineer,Senior,Full-time,154600,In-person,United States,United States,L
2022,Data Engineering,Data Engineer,Senior,Full-time,120000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,95000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,140000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,120000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,169000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,110600,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,80000,Remote,United States,United States,L
2022,Data Engineering,Data Engineer,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,129300,In-person,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,135000,In-person,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,110000,In-person,United States,United States,M
2022,Leadership and Management,Data Analytics Manager,Mid-level,Full-time,155000,In-person,United States,United States,M
2022,Leadership and Management,Data Analytics Manager,Mid-level,Full-time,140000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,205000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,150000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,179500,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,134000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Mid-level,Full-time,180000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Mid-level,Full-time,120000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,175000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,145000,Remote,United States,United States,M
2022,Data Architecture and Modeling,Data Architect,Senior,Full-time,235000,Remote,United States,United States,M
2022,Data Architecture and Modeling,Data Architect,Senior,Full-time,175000,Remote,United States,United States,M
2022,Data Science and Research,Data Science Consultant,Entry-level,Full-time,27317,Hybrid,Spain,Spain,L
2022,Data Engineering,Data Engineer,Mid-level,Full-time,160000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,90000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,68293,In-person,Spain,Spain,M
2022,Data Engineering,Data Engineer,Senior,Full-time,36773,In-person,Spain,Spain,M
2022,Data Engineering,Data Engineer,Senior,Full-time,145000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,115000,In-person,United States,United States,M
2022,Data Management and Strategy,Data Specialist,Mid-level,Full-time,165000,In-person,United States,United States,M
2022,Data Management and Strategy,Data Specialist,Mid-level,Full-time,135000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,168400,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,105200,In-person,United States,United States,M
2022,Machine Learning and AI,Deep Learning Engineer,Mid-level,Full-time,86193,Remote,United Kingdom,United Kingdom,M
2022,Machine Learning and AI,Deep Learning Engineer,Mid-level,Full-time,49253,Remote,United Kingdom,United Kingdom,M
2022,Data Engineering,Data Engineer,Senior,Full-time,200000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,160000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,47280,In-person,Spain,Spain,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,37824,In-person,Spain,Spain,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,198800,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,122600,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Entry-level,Freelance,100000,Remote,Iran,Iran,M
2022,Data Analysis,BI Data Analyst,Mid-level,Full-time,105066,Hybrid,France,France,M
2022,Data Analysis,Data Analyst,Senior,Full-time,130000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,100000,In-person,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Mid-level,Full-time,104663,In-person,United Kingdom,United Kingdom,M
2022,Leadership and Management,Analytics Engineer,Mid-level,Full-time,73880,In-person,United Kingdom,United Kingdom,M
2022,Data Engineering,Data Engineer,Senior,Full-time,125000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,110000,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,165000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,124000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,148000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,107000,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,150000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,100000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Entry-level,Full-time,160000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Entry-level,Full-time,135000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,120000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,95000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,153600,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,106800,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,100000,In-person,Canada,Canada,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,65000,In-person,Canada,Canada,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,120000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,95000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,63040,In-person,Portugal,Portugal,M
2022,Data Engineering,Data Engineer,Senior,Full-time,36773,In-person,Portugal,Portugal,M
2022,Data Engineering,Data Engineer,Executive,Full-time,310000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Executive,Full-time,239000,Remote,United States,United States,M
2022,Data Science and Research,Data Science Manager,Senior,Full-time,299500,In-person,United States,United States,M
2022,Data Science and Research,Data Science Manager,Senior,Full-time,245100,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,168000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,130000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,136000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,104000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,161000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,118000,Remote,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,205000,Remote,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,184000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2022,Data Science and Research,Data Science Manager,Senior,Full-time,247500,In-person,United States,United States,M
2022,Data Science and Research,Data Science Manager,Senior,Full-time,172200,In-person,United States,United States,M
2022,Data Management and Strategy,Data Management Specialist,Senior,Full-time,68293,In-person,Italy,Italy,L
2022,Data Analysis,Data Analyst,Senior,Full-time,177000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,131000,In-person,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,205000,Remote,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,184000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,146000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,102000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,169000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,110600,In-person,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,230000,Remote,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,196000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,135000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,100000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,80000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,65000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,135000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,100000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,61566,Remote,United Kingdom,United Kingdom,M
2022,Data Engineering,Data Engineer,Senior,Full-time,43096,Remote,United Kingdom,United Kingdom,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,175000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,135000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Entry-level,Full-time,80000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,231250,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,138750,Remote,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,193750,Remote,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,116250,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,231250,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,138750,Remote,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,231250,Remote,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,138750,Remote,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,231250,Remote,United States,United States,M
2022,Leadership and Management,Analytics Engineer,Senior,Full-time,138750,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,193750,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,116250,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,208000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,127000,Remote,United States,United States,M
2022,Data Science and Research,Research Scientist,Senior,Full-time,300000,Remote,United States,United States,M
2022,Data Science and Research,Research Scientist,Senior,Full-time,196000,Remote,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,204500,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,142200,In-person,United States,United States,M
2021,Machine Learning and AI,Autonomous Vehicle Technician,Mid-level,Freelance,45555,Hybrid,Bahamas,American Samoa,M
2022,Data Engineering,Data Engineer,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,129300,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,47280,In-person,Spain,Spain,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,37824,In-person,Spain,Spain,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,204500,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,142200,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,205000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,247500,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,172200,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Entry-level,Full-time,160000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Entry-level,Full-time,135000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,150000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,100000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,110000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,95000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,205000,Remote,United States,United States,M
2022,Data Science and Research,Applied Scientist,Senior,Full-time,184000,Remote,United States,United States,M
2022,Data Science and Research,Data Science Tech Lead,Senior,Full-time,375000,Hybrid,United States,United States,L
2022,Data Engineering,Data Engineer,Senior,Full-time,191200,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,130000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,225000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,156400,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,169000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,110600,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,204500,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,142200,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Mid-level,Full-time,104663,In-person,United Kingdom,United Kingdom,M
2022,Machine Learning and AI,Machine Learning Engineer,Mid-level,Full-time,80036,In-person,United Kingdom,United Kingdom,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,140700,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,93800,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,350000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,135000,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,115934,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,81666,Remote,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Mid-level,Full-time,104697,Remote,Switzerland,Switzerland,L
2022,Machine Learning and AI,Machine Learning Developer,Entry-level,Full-time,33000,Remote,Germany,Italy,S
2022,Machine Learning and AI,Machine Learning Scientist,Entry-level,Full-time,34672,Remote,Germany,Italy,S
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,201000,In-person,United States,United States,M
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,119000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,175000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,150000,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,154560,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,123648,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,130000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,100000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,170000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,145000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,135000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,100000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,247500,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,172200,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,177500,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,134000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2022,Data Architecture and Modeling,Data Architect,Senior,Full-time,192564,Remote,United States,United States,M
2022,Data Architecture and Modeling,Data Architect,Senior,Full-time,144854,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,130000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,105000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,179305,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,142127,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,315000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,225000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,243900,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,156600,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,206000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,160000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,109000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,79000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,160000,In-person,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,109000,In-person,United States,United States,M
2022,Data Science and Research,Data Scientist Lead,Mid-level,Full-time,89306,Hybrid,Austria,Austria,L
2022,Data Engineering,Data Engineer,Senior,Full-time,182500,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,128500,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,160000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,90000,Remote,United States,United States,M
2022,Leadership and Management,Data Manager,Entry-level,Full-time,77300,Remote,United States,United States,M
